date,day_of_week,time_of_day,is_holiday,person_condition,at_home,guests_present,mood,temperature,light_level,bedroom_light,living_room_light,bathroom_light,kitchen_light,ac_temp,tv_status,music_player_status,water_heater_status,smart_locks,security_cameras,security_system,watch_tv,play_music,music_type
2019-01-01,Tuesday,morning,1,at_home,1,1,energetic,15.9,276,0,0,0,81,25,0,1,0,0,1,1,0,1,Pop
2019-01-01,Tuesday,afternoon,1,at_home,1,0,calm,22.8,512,0,41,0,0,0,1,1,1,0,1,1,1,1,Pop
2019-01-01,Tuesday,evening,1,at_home,1,0,tired,13.8,104,0,38,75,0,23,1,0,1,0,1,1,1,0,Country
2019-01-01,Tuesday,night,1,sleeping,1,0,peaceful,11.1,136,2,0,0,0,26,0,0,0,1,1,1,0,0,Electronic
2019-01-02,Wednesday,morning,0,getting_ready,1,0,stressed,16.8,317,74,0,0,88,24,0,0,1,1,1,1,0,0,Ambient
2019-01-02,Wednesday,afternoon,0,at_work,0,0,tired,17.3,566,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-02,Wednesday,evening,0,at_home,1,0,stressed,16.4,146,0,53,0,0,26,1,0,1,0,1,1,1,0,Ambient
2019-01-02,Wednesday,night,0,awake,0,0,tired,10.5,81,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-03,Thursday,morning,0,at_work,0,0,focused,13.1,321,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-03,Thursday,afternoon,0,at_home,1,0,energetic,19.9,410,0,0,0,0,25,0,1,0,0,1,1,0,1,Classical
2019-01-03,Thursday,evening,0,at_home,1,0,calm,14.7,291,0,39,0,79,24,1,0,1,0,1,1,1,0,Rock
2019-01-03,Thursday,night,0,sleeping,1,0,peaceful,11.9,127,7,0,0,0,25,0,0,0,1,1,1,0,0,Rock
2019-01-04,Friday,morning,0,at_work,0,0,focused,14.4,244,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-04,Friday,afternoon,0,at_work,0,0,focused,17.4,640,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-04,Friday,evening,0,out,0,0,calm,14.9,142,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-04,Friday,night,0,awake,0,0,happy,11.5,136,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-05,Saturday,morning,1,at_home,1,1,stressed,17.1,225,0,0,0,84,24,0,0,0,0,1,1,0,0,Country
2019-01-05,Saturday,afternoon,1,at_home,1,0,tired,18.8,525,0,59,0,85,24,1,0,1,0,1,1,1,0,Rock
2019-01-05,Saturday,evening,1,at_home,1,0,calm,18.4,231,0,0,0,0,25,0,0,1,1,1,1,0,0,Jazz
2019-01-05,Saturday,night,1,awake,0,0,calm,11.7,62,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-06,Sunday,morning,1,at_home,1,0,happy,16.9,498,0,0,0,98,26,0,1,0,1,1,1,0,1,Electronic
2019-01-06,Sunday,afternoon,1,at_home,1,0,stressed,21.9,401,0,53,62,70,0,1,0,1,0,1,1,1,0,Country
2019-01-06,Sunday,evening,1,at_home,1,0,stressed,16.8,153,0,0,64,77,25,0,0,0,0,1,1,0,0,Ambient
2019-01-06,Sunday,night,1,sleeping,1,0,peaceful,11.9,100,1,0,0,0,25,0,0,0,1,1,1,0,0,Rock
2019-01-07,Monday,morning,0,at_work,0,0,focused,16.6,387,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-07,Monday,afternoon,0,at_work,0,0,stressed,22.5,428,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-07,Monday,evening,0,out,0,0,calm,16.9,169,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-07,Monday,night,0,sleeping,1,0,peaceful,14.4,53,1,0,0,0,25,0,0,0,1,1,1,0,0,Jazz
2019-01-08,Tuesday,morning,0,at_work,0,0,energetic,15.5,332,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-08,Tuesday,afternoon,0,at_work,0,0,focused,20.9,764,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-08,Tuesday,evening,0,at_home,1,0,energetic,15.5,181,0,0,0,80,23,0,1,0,0,1,1,0,1,Jazz
2019-01-08,Tuesday,night,0,sleeping,1,0,peaceful,14.2,106,0,0,0,0,26,0,0,0,1,1,1,0,0,Electronic
2019-01-09,Wednesday,morning,0,at_work,0,0,focused,16.1,389,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-09,Wednesday,afternoon,0,at_work,0,0,focused,20.4,731,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-09,Wednesday,evening,0,at_home,1,1,calm,18.3,130,0,50,0,72,23,1,0,1,1,1,1,1,0,Pop
2019-01-09,Wednesday,night,0,sleeping,1,0,peaceful,12.5,76,7,0,0,0,25,0,0,0,1,1,1,0,0,Classical
2019-01-10,Thursday,morning,0,getting_ready,1,0,calm,16.7,274,92,0,89,77,26,0,0,1,0,1,1,0,0,Ambient
2019-01-10,Thursday,afternoon,0,at_work,0,0,energetic,18.9,642,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-10,Thursday,evening,0,out,0,0,energetic,17.8,246,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-10,Thursday,night,0,sleeping,1,0,peaceful,12.7,127,10,0,0,0,23,0,0,0,1,1,1,0,0,Hip Hop
2019-01-11,Friday,morning,0,at_work,0,0,focused,13.8,309,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-11,Friday,afternoon,0,at_home,1,0,stressed,22.9,496,0,56,0,97,0,1,0,1,0,1,1,1,0,Hip Hop
2019-01-11,Friday,evening,0,at_home,1,0,stressed,16.6,290,0,51,0,87,23,1,0,0,0,1,1,1,0,Electronic
2019-01-11,Friday,night,0,awake,0,0,happy,13.8,140,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-12,Saturday,morning,1,at_home,1,0,calm,14.3,330,0,0,80,0,23,0,0,1,1,1,1,0,0,Electronic
2019-01-12,Saturday,afternoon,1,at_home,1,0,tired,18.0,723,0,0,0,80,26,0,0,0,0,1,1,0,0,Electronic
2019-01-12,Saturday,evening,1,at_home,1,0,energetic,16.4,284,0,49,0,70,25,1,0,0,0,1,1,1,0,Pop
2019-01-12,Saturday,night,1,awake,0,0,stressed,14.4,68,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-13,Sunday,morning,1,sleeping,1,0,peaceful,13.2,403,5,0,0,0,26,0,0,0,1,1,1,0,0,Hip Hop
2019-01-13,Sunday,afternoon,1,at_home,1,0,tired,22.9,640,0,0,0,80,0,0,0,1,0,1,1,0,0,Country
2019-01-13,Sunday,evening,1,out,0,0,happy,14.0,184,0,0,0,0,0,0,0,0,1,1,1,0,0,NONE
2019-01-13,Sunday,night,1,sleeping,1,0,peaceful,13.7,111,6,0,0,0,23,0,0,0,1,1,1,0,0,Country
